0	0
2	3
4	9
6	11
8	8
10	10
12	13
14	10
16	9
18	11
20	10
22	4
24	5
26	10
28	7
30	11
32	12
34	9
36	8
38	7
40	9
42	10
44	14
46	4
48	10
50	11
52	11
54	9
56	8
58	10
60	6
62	9
64	8
66	9
68	5
70	9
72	9
74	6
76	8
78	8
80	9
82	7
84	4
86	9
88	10
90	9
92	8
94	6
96	7
98	7
1	12
3	8
5	8
7	9
9	6
11	12
13	10
15	13
17	13
19	11
21	5
23	12
25	8
27	9
29	8
31	10
33	8
35	4
37	9
39	4
41	7
43	13
45	11
47	7
49	10
51	8
53	8
55	7
57	7
59	7
61	8
63	8
65	11
67	9
69	6
71	9
73	6
75	4
77	8
79	6
81	9
83	10
85	6
87	6
89	8
91	9
93	7
95	5
97	8
99	9
